,dataset_id,donor_id,cell_class,n_cells
Lafyatis_Rojas_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_2|ciliated,Lafyatis_Rojas_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_2,ciliated,44
Lafyatis_Rojas_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_3|ciliated,Lafyatis_Rojas_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_3,ciliated,84
Lafyatis_Rojas_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4|ciliated,Lafyatis_Rojas_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4,ciliated,47
Lafyatis_Rojas_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_5|ciliated,Lafyatis_Rojas_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_5,ciliated,64
Lafyatis_Rojas_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6|ciliated,Lafyatis_Rojas_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6,ciliated,358
Lafyatis_Rojas_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6|club,Lafyatis_Rojas_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6,club,83
Meyer_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C|ciliated,Meyer_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C,ciliated,67
Meyer_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C|ciliated,Meyer_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C,ciliated,25
Misharin_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01|basal,Misharin_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,basal,2181
Misharin_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01|ciliated,Misharin_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,ciliated,2452
Misharin_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01|club,Misharin_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,club,422
Misharin_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01|goblet,Misharin_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,goblet,136
Misharin_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02|ciliated,Misharin_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02,ciliated,310
Misharin_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02|club,Misharin_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02,club,92
Misharin_Budinger_2018|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_02|ciliated,Misharin_Budinger_2018,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_02,ciliated,82
Misharin_Budinger_2018|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_03|ciliated,Misharin_Budinger_2018,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_03,ciliated,67
Misharin_Budinger_2018|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04|ciliated,Misharin_Budinger_2018,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04,ciliated,115
Misharin_Budinger_2018|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04|club,Misharin_Budinger_2018,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04,club,35
Misharin_Budinger_2018|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_05|ciliated,Misharin_Budinger_2018,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_05,ciliated,28
Misharin_Budinger_2018|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_06|ciliated,Misharin_Budinger_2018,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_06,ciliated,29
Misharin_Budinger_2018|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_07|ciliated,Misharin_Budinger_2018,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_07,ciliated,216
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-01|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-01,basal,87
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-01|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-01,ciliated,68
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02,basal,295
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02,ciliated,501
