,basal_to_club,basal_to_goblet,basal_to_ciliated
ABL1,0.8725429195393567,0.46002950519113867,0.2727738534839662
ABL2,-0.3290443233004738,-0.5612141903449605,0.3880411680063564
ABLIM1,1.2179499446346667,1.7164725626134525,0.02487289906632415
ABLIM3,,0.6748289395685644,
ABO,1.5962759668382884,1.3562326796712,0.6601303645926968
ABR,0.2654935131368681,0.48621576153768953,0.31487536887850853
ABRACL,0.3999337293442868,1.076620902083422,-1.5625437323036946
ABRAXAS1,-1.1533110688145278,-1.564546323324894,1.224308586917354
ABRAXAS2,0.13152427087145854,-0.0849289681072466,-0.09585971446834232
ABT1,-1.0156751474142072,-1.0657527576850387,-1.2723546377267287
ABTB1,-0.18867887334611014,-0.5916236984210365,0.22534903374813106
ABTB3,,-1.6115696870297962,-2.005132465372966
ACAA1,-0.09953111738946234,0.021973937336828425,-0.8531685435660232
ACAA2,1.0486265682016689,-0.10193259973389578,0.724055162320451
ACACA,1.4365363052792213,1.2462456216784068,0.6157891730339248
ACACB,,-0.7310936661682222,0.7800562150861664
ACAD10,0.07433460382408336,-0.12785813252540135,0.7150241722009372
ACAD11,,,0.8116065383083727
ACAD8,0.6459249288192928,0.777289356727142,0.2342478830714539
ACAD9,-0.2695509476936037,-0.44486661286396134,-0.6601303645926969
ACADL,,0.9844322997508893,0.588683868254713
ACADM,-0.05541135627863814,-0.17175539762697087,0.4441345899005402
ACADS,0.3368333438672833,0.31017152703404055,-0.15874152652127446
ACADSB,1.6257806541877373,1.3166438295622407,0.2674976943262634
ACADVL,0.26907337335689385,0.5494470926213929,-0.483793015974285
ACAP1,,-0.1981378604727824,1.4490482336458081
ACAP2,-0.6301180311432996,-0.8204063784091777,-0.3347373670988399
ACAP3,-0.6999336134140447,-0.5298638216299549,-0.8165928289117709
ACAT1,-1.1294580904751066,-0.7474255538612279,0.3503215231515645
ACAT2,1.2525177664337273,1.589527409747494,-0.3113135900089782
ACBD3,0.807649114487947,1.3026329570049304,-0.22592884222541346
ACBD3-AS1,,0.5402546754906793,1.7161231394100949
ACBD4,-0.017847864492506305,-0.261016725513674,-0.588011828184848
ACBD5,0.765601179195985,1.176122540629347,0.6114677567066894
ACBD6,-0.6008949336712268,-0.927546684378611,-1.0327652485360503
ACCS,0.8861017484250104,0.6707637711665174,0.8556112081003371
ACD,-0.7102681024066964,-1.0568961442659597,-0.408642325419851
ACE,,1.7919392805102166,
ACE2,,1.40819080020482,
ACER3,-0.28894577249210673,0.16098138566719442,-1.5899500646449174
ACER3-AS1,,2.7537513483076017,
ACHE,,0.2196747856160318,
