tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,n_support,pct_club_mean
ZNF780A,False,False,False,False,0,0.716
ZBTB14,False,False,False,False,0,0.716
ZNF701,False,False,False,False,0,0.717
PPARD,False,False,False,False,0,0.72
RARB,False,False,False,False,0,0.721
RELB,False,False,False,False,0,0.723
ARID5B,False,False,False,False,0,0.724
ZNF143,False,False,False,False,0,0.727
TCF4,False,False,False,False,0,0.728
FOXO1,False,False,False,False,0,0.729
OVOL1,False,False,False,False,0,0.729
ZNF274,False,False,False,False,0,0.729
RREB1,False,False,False,False,0,0.729
RLF,False,False,False,False,0,0.733
NFE2L2,False,False,False,False,0,0.735
ZNF641,False,False,False,False,0,0.739
THRA,False,False,False,False,0,0.743
VEZF1,False,False,False,False,0,0.744
GLIS2,False,False,False,False,0,0.744
MBD2,False,False,False,False,0,0.745
ZBTB43,False,False,False,False,0,0.746
ZKSCAN5,False,False,False,False,0,0.747
ATF3,False,False,False,False,0,0.749
ZNF552,False,False,False,False,0,0.751
ZBED1,False,False,False,False,0,0.751
ZBTB37,False,False,False,False,0,0.751
STAT5B,False,False,False,False,0,0.752
ZNF513,False,False,False,False,0,0.753
ZSCAN31,False,False,False,False,0,0.753
THAP2,False,False,False,False,0,0.754
PCGF2,False,False,False,False,0,0.754
MYCL,False,False,False,False,0,0.754
ATF1,False,False,False,False,0,0.755
TCF12,False,False,False,False,0,0.756
CEBPG,False,False,False,False,0,0.758
ZBTB41,False,False,False,False,0,0.758
ZFY,False,False,False,False,0,0.759
NFYC,False,False,False,False,0,0.762
CREM,False,False,False,False,0,0.765
ZNF217,False,False,False,False,0,0.765
IRF7,False,False,False,False,0,0.765
NR1H3,False,False,False,False,0,0.765
FOXN2,False,False,False,False,0,0.765
ZNF426,False,False,False,False,0,0.766
FOSL2,False,False,False,False,0,0.769
ZNF764,False,False,False,False,0,0.77
HES4,False,False,False,False,0,0.771
NFIX,False,False,False,False,0,0.772
HOMEZ,False,False,False,False,0,0.772
CEBPB,False,False,False,False,0,0.773
TEAD1,False,False,False,False,0,0.774
KCMF1,False,False,False,False,0,0.775
PIN1,False,False,False,False,0,0.777
ZNF846,False,False,False,False,0,0.777
MEF2A,False,False,False,False,0,0.778
ZNF669,False,False,False,False,0,0.78
NCOA3,False,False,False,False,0,0.78
NFKB1,False,False,False,False,0,0.781
NFATC4,False,False,False,False,0,0.782
JRKL,False,False,False,False,0,0.782
IRF5,False,False,False,False,0,0.783
ARNT,False,False,False,False,0,0.784
SKIL,False,False,False,False,0,0.784
IRF1,False,False,False,False,0,0.786
MAFK,False,False,False,False,0,0.788
TEAD3,False,False,False,False,0,0.789
ZNF600,False,False,False,False,0,0.79
BHLHE41,False,False,False,False,0,0.792
HOXB2,False,False,False,False,0,0.792
ZFP82,False,False,False,False,0,0.793
ZFP1,False,False,False,False,0,0.793
ZBTB45,False,False,False,False,0,0.793
ZNF584,False,False,False,False,0,0.793
SMYD3,False,False,False,False,0,0.795
MITF,False,False,False,False,0,0.797
BBX,False,False,False,False,0,0.798
BHLHE40,False,False,False,False,0,0.799
ZNF557,False,False,False,False,0,0.801
NFIL3,False,False,False,False,0,0.801
MAX,False,False,False,False,0,0.804
MXD1,False,False,False,False,0,0.805
MBNL2,False,False,False,False,0,0.806
SOX4,False,False,False,False,0,0.806
KLF10,False,False,False,False,0,0.806
HSF1,False,False,False,False,0,0.806
NR1D2,False,False,False,False,0,0.807
MEIS1,False,False,False,False,0,0.809
PLAGL1,False,False,False,False,0,0.812
REST,False,False,False,False,0,0.814
TFDP2,False,False,False,False,0,0.816
PLAG1,False,False,False,False,0,0.817
